Region,District,Local Government,Locality,Postcode,SA1,Electors,LG Sort Name,
South West,Vasse,Shire of Augusta-Margaret River,Cowaramup,6284,5100101,268,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Cowaramup,6284,5100102,704,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Augusta,6290,5100103,377,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Augusta,6290,5100104,344,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Augusta,6290,5100105,229,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Leeuwin,6290,5100106,1,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Nillup,6288,5100107,1,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Alexandra Bridge,6288,5100107,7,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Courtenay,6288,5100107,24,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,East Augusta,6290,5100107,26,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Molloy Island,6290,5100107,125,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Nillup,6288,5100107,39,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Scott River,6288,5100107,17,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Warner Glen,6288,5100107,35,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Deepdene,6290,5100109,43,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Hamelin Bay,6288,5100109,37,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Karridale,6288,5100109,188,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Kudardup,6290,5100109,76,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Forest Grove,6286,5100110,173,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Forest Grove,6286,5100111,1,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Redgate,6286,5100111,65,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Witchcliffe,6286,5100111,182,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Bramley,6285,5100112,59,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Cowaramup,6284,5100112,3,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Osmington,6285,5100112,89,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Treeton,6284,5100112,92,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Augusta,6290,5100113,206,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Cowaramup,6284,5100114,391,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Rosa Brook,6285,5100115,151,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Rosa Glen,6285,5100115,111,Augusta-Margaret River,
South West,Vasse,City of Busselton,Broadwater,6280,5100202,397,Busselton,
South West,Vasse,City of Busselton,Ambergate,6280,5100203,349,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100204,325,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100205,276,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100206,320,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100207,244,Busselton,
South West,Vasse,City of Busselton,Busselton,6280,5100209,351,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100213,258,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100214,597,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100216,327,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100217,235,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100218,190,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100219,355,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100220,395,Busselton,
South West,Vasse,City of Busselton,Bovell,6280,5100222,341,Busselton,
South West,Vasse,City of Busselton,Vasse,6280,5100223,236,Busselton,
South West,Vasse,City of Busselton,Vasse,6280,5100224,260,Busselton,
South West,Vasse,City of Busselton,Reinscourt,6280,5100226,190,Busselton,
South West,Vasse,City of Busselton,Wonnerup,6280,5100226,118,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100227,126,Busselton,
South West,Vasse,City of Busselton,Abbey,6280,5100229,360,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100230,251,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100231,330,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100232,186,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100233,8,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100233,292,Busselton,
South West,Vasse,City of Busselton,Kealy,6280,5100234,387,Busselton,
South West,Vasse,City of Busselton,Marybrook,6280,5100234,128,Busselton,
South West,Vasse,City of Busselton,Siesta Park,6280,5100234,70,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100235,364,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100236,327,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100237,296,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100238,269,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100239,175,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100240,251,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100241,310,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100243,313,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100244,335,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100246,155,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100247,319,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100249,185,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100250,229,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100251,209,Busselton,
South West,Vasse,City of Busselton,Abbey,6280,5100252,207,Busselton,
South West,Vasse,City of Busselton,Vasse,6280,5100253,511,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100254,192,Busselton,
South West,Vasse,City of Busselton,Busselton,6280,5100255,24,Busselton,
South West,Vasse,City of Busselton,Busselton,6280,5100256,231,Busselton,
South West,Vasse,City of Busselton,Yalyalup,6280,5100257,206,Busselton,
South West,Vasse,City of Busselton,Yalyalup,6280,5100258,206,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100259,249,Busselton,
South West,Vasse,City of Busselton,Busselton,6280,5100260,211,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100261,286,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100262,201,Busselton,
South West,Vasse,City of Busselton,Yalyalup,6280,5100263,254,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100264,176,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100265,324,Busselton,
South West,Vasse,City of Busselton,Yalyalup,6280,5100266,322,Busselton,
South West,Vasse,City of Busselton,Yalyalup,6280,5100267,331,Busselton,
South West,Vasse,City of Busselton,Yalyalup,6280,5100268,230,Busselton,
South West,Vasse,City of Busselton,Vasse,6280,5100269,6,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100270,147,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100271,136,Busselton,
South West,Vasse,City of Busselton,Vasse,6280,5100272,591,Busselton,
South West,Vasse,City of Busselton,Vasse,6280,5100273,113,Busselton,
South West,Vasse,City of Busselton,Ludlow,6280,5100274,1,Busselton,
South West,Vasse,City of Busselton,Yalyalup,6280,5100274,255,Busselton,
South West,Vasse,City of Busselton,Busselton,6280,5100275,310,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100276,245,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100277,142,Busselton,
South West,Vasse,City of Busselton,Wonnerup,6280,5100277,6,Busselton,
South West,Vasse,City of Busselton,Geographe,6280,5100278,141,Busselton,
South West,Vasse,City of Busselton,Busselton,6280,5100279,263,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100280,256,Busselton,
South West,Vasse,City of Busselton,West Busselton,6280,5100281,369,Busselton,
South West,Vasse,City of Busselton,Broadwater,6280,5100282,307,Busselton,
South West,Vasse,City of Busselton,Abbey,6280,5100283,325,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100301,134,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100302,197,Busselton,
South West,Vasse,City of Busselton,Anniebrook,6280,5100303,38,Busselton,
South West,Vasse,City of Busselton,Quindalup,6281,5100303,174,Busselton,
South West,Vasse,City of Busselton,Acton Park,6280,5100304,58,Busselton,
South West,Vasse,City of Busselton,Kalgup,6280,5100304,50,Busselton,
South West,Vasse,City of Busselton,Walsall,6280,5100304,71,Busselton,
South West,Vasse,City of Busselton,Boallia,6280,5100305,36,Busselton,
South West,Vasse,City of Busselton,Chapman Hill,6280,5100305,82,Busselton,
South West,Vasse,City of Busselton,Jindong,6280,5100305,39,Busselton,
South West,Vasse,City of Busselton,Kaloorup,6280,5100305,56,Busselton,
South West,Vasse,City of Busselton,Abba River,6280,5100306,43,Busselton,
South West,Vasse,City of Busselton,Hithergreen,6280,5100306,47,Busselton,
South West,Vasse,City of Busselton,Jarrahwood,6275,5100306,10,Busselton,
South West,Vasse,City of Busselton,Ruabon,6280,5100306,63,Busselton,
South West,Vasse,City of Busselton,Sabina River,6280,5100306,48,Busselton,
South West,Vasse,City of Busselton,Tutunup,6280,5100306,55,Busselton,
South West,Vasse,City of Busselton,Yoganup,6275,5100306,5,Busselton,
South West,Vasse,City of Busselton,Yoongarillup,6280,5100306,64,Busselton,
South West,Vasse,City of Busselton,Yallingup Siding,6282,5100307,231,Busselton,
South West,Vasse,City of Busselton,Quindalup,6281,5100308,286,Busselton,
South West,Vasse,City of Busselton,Quindalup,6281,5100310,270,Busselton,
South West,Vasse,City of Busselton,Quindalup,6281,5100311,196,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100312,266,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100313,182,Busselton,
South West,Vasse,City of Busselton,Carbunup River,6280,5100314,88,Busselton,
South West,Vasse,City of Busselton,North Jindong,6280,5100314,62,Busselton,
South West,Vasse,City of Busselton,Yelverton,6280,5100314,58,Busselton,
South West,Vasse,City of Busselton,Metricup,6280,5100315,164,Busselton,
South West,Vasse,City of Busselton,Wilyabrup,6280,5100315,123,Busselton,
South West,Vasse,City of Busselton,Yallingup,6282,5100316,243,Busselton,
South West,Vasse,City of Busselton,Yallingup,6282,5100317,291,Busselton,
South West,Vasse,City of Busselton,Yallingup,6282,5100318,323,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100319,294,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100320,503,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100321,327,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100322,1,Busselton,
South West,Vasse,City of Busselton,Eagle Bay,6281,5100322,79,Busselton,
South West,Vasse,City of Busselton,Naturaliste,6281,5100322,44,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100323,206,Busselton,
South West,Vasse,City of Busselton,Quedjinup,6281,5100324,315,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100325,425,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100326,286,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100327,553,Busselton,
South West,Vasse,City of Busselton,Dunsborough,6281,5100328,611,Busselton,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100401,322,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Gnarabup,6285,5100405,280,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100406,343,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100407,222,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100408,201,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100410,455,Augusta-Margaret River,
